"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑10‑20 08:00:00 (UTC)","2.811111"
"2024‑10‑20 09:00:00 (UTC)","2.284122"
"2024‑10‑20 10:00:00 (UTC)","2.523676"
"2024‑10‑20 11:00:00 (UTC)","2.256267"
"2024‑10‑20 12:00:00 (UTC)","2.219444"
"2024‑10‑20 13:00:00 (UTC)","2.275766"
"2024‑10‑20 14:00:00 (UTC)","2.281337"
"2024‑10‑20 15:00:00 (UTC)","2.487465"
"2024‑10‑20 16:00:00 (UTC)","1.455555"
"2024‑10‑20 17:00:00 (UTC)","0.002785"
"2024‑10‑20 18:00:00 (UTC)","0.011142"
"2024‑10‑20 19:00:00 (UTC)","0.002785"
"2024‑10‑20 20:00:00 (UTC)","0.019498"
"2024‑10‑20 21:00:00 (UTC)","0"
"2024‑10‑20 22:00:00 (UTC)","0"
"2024‑10‑20 23:00:00 (UTC)","0"
"2024‑10‑21 00:00:00 (UTC)","0"
"2024‑10‑21 01:00:00 (UTC)","0"
"2024‑10‑21 02:00:00 (UTC)","0"
"2024‑10‑21 03:00:00 (UTC)","0"
"2024‑10‑21 04:00:00 (UTC)","0.025069"
"2024‑10‑21 05:00:00 (UTC)","0.710306"
"2024‑10‑21 06:00:00 (UTC)","2.169444"
"2024‑10‑21 07:00:00 (UTC)","2.183844"
"2024‑10‑21 08:00:00 (UTC)","2.169916"
"2024‑10‑21 09:00:00 (UTC)","2.061281"
"2024‑10‑21 10:00:00 (UTC)","2.019444"
"2024‑10‑21 11:00:00 (UTC)","1.986072"
"2024‑10‑21 12:00:00 (UTC)","2.100278"
"2024‑10‑21 13:00:00 (UTC)","2.072423"
"2024‑10‑21 14:00:00 (UTC)","2.292479"
"2024‑10‑21 15:00:00 (UTC)","2.136111"
"2024‑10‑21 16:00:00 (UTC)","1.938718"
"2024‑10‑21 17:00:00 (UTC)","0.008356"
"2024‑10‑21 18:00:00 (UTC)","0.005571"
"2024‑10‑21 19:00:00 (UTC)","0.016666"
"2024‑10‑21 20:00:00 (UTC)","0.008356"
"2024‑10‑21 21:00:00 (UTC)","0.005763"
"2024‑10‑21 22:00:00 (UTC)","0"
"2024‑10‑21 23:00:00 (UTC)","0.002785"
"2024‑10‑22 00:00:00 (UTC)","0.002777"
"2024‑10‑22 01:00:00 (UTC)","0"
"2024‑10‑22 02:00:00 (UTC)","0.002785"
"2024‑10‑22 03:00:00 (UTC)","0.002785"
"2024‑10‑22 04:00:00 (UTC)","0.025"
"2024‑10‑22 05:00:00 (UTC)","0.356545"
"2024‑10‑22 06:00:00 (UTC)","2.08635"
"2024‑10‑22 07:00:00 (UTC)","1.251184"
"2024‑10‑22 08:00:00 (UTC)","0.337047"
"2024‑10‑22 09:00:00 (UTC)","0.288888"
"2024‑10‑22 10:00:00 (UTC)","0.242339"
"2024‑10‑22 11:00:00 (UTC)","0.317548"
"2024‑10‑22 12:00:00 (UTC)","0.242339"
"2024‑10‑22 13:00:00 (UTC)","0.508547"
