"SpacebasedParkingUtilizationHistoric.timestamp.hour","SpacebasedParkingUtilizationHistoric.avgUtilization"
"2024‑09‑22 16:00:00 (UTC)","10.65181"
"2024‑09‑22 17:00:00 (UTC)","9.565459"
"2024‑09‑22 18:00:00 (UTC)","6.222222"
"2024‑09‑22 19:00:00 (UTC)","2.345403"
"2024‑09‑22 20:00:00 (UTC)","1.367688"
"2024‑09‑22 21:00:00 (UTC)","1.189415"
"2024‑09‑22 22:00:00 (UTC)","1.754874"
"2024‑09‑22 23:00:00 (UTC)","0.163888"
"2024‑09‑23 00:00:00 (UTC)","0"
"2024‑09‑23 01:00:00 (UTC)","0.206128"
"2024‑09‑23 02:00:00 (UTC)","0.027855"
"2024‑09‑23 03:00:00 (UTC)","0.89415"
"2024‑09‑23 04:00:00 (UTC)","1.111111"
"2024‑09‑23 05:00:00 (UTC)","4.437325"
"2024‑09‑23 06:00:00 (UTC)","7.259052"
"2024‑09‑23 07:00:00 (UTC)","8.766016"
"2024‑09‑23 08:00:00 (UTC)","10.277777"
"2024‑09‑23 09:00:00 (UTC)","9.815789"
"2024‑09‑23 10:00:00 (UTC)","0.655462"
"2024‑09‑23 11:00:00 (UTC)","1.125"
"2024‑09‑23 12:00:00 (UTC)","1.128834"
